Unnamed: 0,atletas.rodada_id,atletas.status_id,atletas.pontos_num,atletas.variacao_num,atletas.media_num,atletas.slug,atletas.apelido,atletas.atleta_id,atletas.nome,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.jogos_num,atletas.clube_id,atletas.posicao_id,atletas.preco_num,atletas.minimo_para_valorizar,atletas.apelido_abreviado,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
276,1,7,0,0,0,jean-lucas,Jean Lucas,98517,Jean Lucas de Souza Oliveira,BAH,False,0,265,4,6,,J. Lucas,40.0,66.67,Casa de Apostas Arena Fonte Nova,2025-03-30 20:00:00,1,1,333874,10,264,5,265,1743375600,26,True,True
278,1,7,0,0,0,kuscevic,Kuscevic,98619,Benjamín Kuščević Jaramillo,FOR,False,0,356,3,6,,Kuscevic,66.67,20.0,Castelão (CE),2025-03-29 18:30:00,0,2,333875,6,266,18,356,1743283800,26,True,True
283,1,6,0,0,0,vina,Viña,98974,Matías Nicolás Viña Susperreguy,FLA,False,0,262,2,8,,Viña,20.0,73.33,Maracanã,2025-03-29 21:00:00,1,1,333867,17,285,1,262,1743292800,26,True,True
287,1,7,0,0,0,vegetti,Vegetti,99198,Pablo Vegetti,VAS,False,0,267,5,17,,Vegetti,46.67,46.67,São Januário,2025-03-30 18:30:00,1,2,333868,15,277,13,267,1743370200,26,True,True
288,1,6,0,0,0,puma-rodriguez,Puma Rodríguez,99213,José Luis Rodríguez Bebanz,VAS,False,0,267,2,5,,P. Rodríguez,46.67,46.67,São Januário,2025-03-30 18:30:00,1,2,333868,15,277,13,267,1743370200,26,True,True
289,1,7,0,0,0,de-la-cruz,De la Cruz,99228,Diego Nicolás de la Cruz Arcosa,FLA,False,0,262,4,14,,D. Cruz,20.0,73.33,Maracanã,2025-03-29 21:00:00,1,1,333867,17,285,1,262,1743292800,26,True,True
291,1,7,0,0,0,pochettino,Pochettino,99267,Tomás Pochettino,FOR,False,0,356,4,11,,Pochettino,66.67,20.0,Castelão (CE),2025-03-29 18:30:00,0,2,333875,6,266,18,356,1743283800,26,True,True
293,1,6,0,0,0,dinenno,Dinenno,99316,Juan Ignacio Dinenno de Cara,CRU,False,0,283,5,7,,Dinenno,66.67,73.33,Mineirão,2025-03-29 18:30:00,1,2,333872,9,2305,2,283,1743283800,26,True,True
294,1,7,0,0,0,luis-zubeldia,Luis Zubeldía,99366,Luis Francisco Zubeldía,SAO,False,0,276,6,7,,L. Zubeldía,6.67,26.67,Morumbis,2025-03-29 18:30:00,0,0,333870,20,292,14,276,1743283800,26,True,True
295,1,6,0,0,0,michael,Michael,99392,Michael Richard Delgado de Oliveira,FLA,False,0,262,5,8,,Michael,20.0,73.33,Maracanã,2025-03-29 21:00:00,1,1,333867,17,285,1,262,1743292800,26,True,True
297,1,7,0,0,0,rossi,Rossi,99552,Agustín Daniel Rossi,FLA,False,0,262,1,9,,Rossi,20.0,73.33,Maracanã,2025-03-29 21:00:00,1,1,333867,17,285,1,262,1743292800,26,True,True
299,1,5,0,0,0,paulinho,Paulinho,99818,Paulo Henrique Sampaio Filho,PAL,False,0,275,5,9,,Paulinho,73.33,60.0,Allianz Parque,2025-03-30 16:00:00,0,0,333869,8,263,4,275,1743361200,26,True,True
300,1,2,0,0,0,alan-franco,Alan Franco,99889,Alan Javier Franco,SAO,False,0,276,3,7,,A. Franco,6.67,26.67,Morumbis,2025-03-29 18:30:00,0,0,333870,20,292,14,276,1743283800,26,True,True
302,1,6,0,0,0,pedro-augusto,Pedro Augusto,100085,Pedro Augusto Borges da Costa,FOR,False,0,356,4,3,,P. Augusto,66.67,20.0,Castelão (CE),2025-03-29 18:30:00,0,2,333875,6,266,18,356,1743283800,26,True,True
304,1,6,0,0,0,fernando,Fernando,100695,Fernando dos Santos Pedro,RBB,False,0,280,5,5,,Fernando,46.67,46.67,Nabi Abi Chedid,2025-03-31 20:00:00,2,2,333871,12,354,3,280,1743462000,26,True,True
